id,title,birth_date,death_date,bio
3721,Pol Bury,1922,,
51041,John Wood,1922,,
115619,PRODUCTORA,,,
42397,Roy Martell Mason,1886,1972,
22996,Sasajima Kihei,1906,1993,
106035,Viktor P. Sokolov,1923,1980,
729,Milet Andrejevic,1925,1989,
40650,Philips de Koninck,1619,1688,
41942,"Frans Pourbus, the Younger",1569,1622,
21343,Johann Anton Alban Ramboux,1790,1866,"German painter and lithographer. He studied with a former Benedictine monk Abraham (Jean Henri Gilson) in Florenville, Luxembourg from 1803 to 1807. In 1807-12 he was in Paris as a pupil of Jacques-Louis David, whose portraiture influenced him decisively. In 1813 he returned to his native town Trier. In 1815 he was at the Academy in Munich where he was the student of the sculptors Franz and Konrad Eberhard. In early 1816 Ramboux went to Rome, where he worked until June 1822. There he joined the Nazarenes and became friend to Peter Cornelius, Carl Philipp Fohr, Joseph Anton Koch and Johann Friedrich Overbeck. In the summer of 1822 he returned to Trier settled there for ten years. In these years, he made many watercolours with views of the city and the Moselle. Sixteen of these watercolours formed the template for lithographs which he produced and published in 1825. In the spring of 1832 he went again to Italy, where he stayed until September 1842. In Italy, he produced landscapes and genre scenes, but his main activity was to copy frescoes and mosaics from the 13th-16th centuries. Returning to Germany he became curator of the Wallraf collection in Cologne. In 1854 he made a pilgrimage to Jerusalem where he created many watercolours for later lithographs. In 1858 he became the first honorary citizen of his native town. "
53586,Daniela da Volterra,1509,1566,
46784,Style of  Carlo Maratti,1625,1713,
20552,Joseph Piccillo,1941,,
113237,Araki Tomei,1817,1870,
28162,Lynn Webster,,,
33684,Thomas Bolton,1701,,
34141,Dauptain et Soeur,,,
116465,Charles Richard Meade,,,
63999,Harvey T. Dunn,1884,1952,
44613,Fitz Henry Lane,1804,1865,
55002,Augustin Dupré,1748,1833,
107761,David Goldblatt,1930,2018,
68269,Abraham Dressler,,,
15759,Winifred Ann Lutz,1942,,
63976,Matteo de'Pasti,1415,1472,"Italian medallist, architect, painter and illuminator. He came from a good Veronese family (his father was a doctor, two of his brothers were in the church and three others were merchants). He is first documented in 1441, when he was working in Venice as painter to Piero di Cosimo de' Medici illustrating Petrarch's Trionfi (untraced). Subsequently (1444-46), he worked as an illuminator for the Este court, under the direction of Giorgio d'Alemagna. None of his works from this period is known. He married Elisa Baldigara of Rimini and moved there by 1449. Sigismondo Malatesta, the lord of Rimini, employed de' Pasti on several projects, including the rebuilding of the church of San Francesco by Leon Battista Alberti. De' Pasti's name appears as 'architect' inside the Tempio Malatestiana, as the building is known, but the extent of his contribution is unclear. By 1454 he was referred to as 'noble' and was entrusted with responsibility for all architectural and artistic work within the state. This brought him into contact with Piero della Francesca, Leon Battista Alberti, Agostino di Duccio and many other artists working at the court. He was strongly influenced by Pisanello, who had made medals for Sigismondo in the mid-1440s. Sigismondo sent de' Pasti, as requested, to Turkey to take the portrait of Sultan Mehmed, but he was arrested as a spy by the Venetian authorities and imprisoned briefly. He was last referred to in May 1467, and had died by the middle of 1468. "
31206,Ernst Fuhrmann,1886,1956,
2075,Benard and Frey,,,
20047,Alice Kagawa Parrott,1929,2009,
77935,Laura Owens,1970,,
41554,Johann Martin Schuster,1667,1738,
26890,Ushiku Kenji,1922,2012,
34454,Abel Faivre,1867,1945,
36469,Arthur Rothstein,1915,1985,
4908,Clérissy Factory,,,
96189,Thomas Dixon,1959,,
40715,Giovanni Battista Naldini,1537,1591,
41807,Cosmos Damian Asam,1686,1739,
35615,Reginald Marsh,1898,1954,
3664,Thomas Burke,1749,1815,
2976,Georges Alfred Bottini,1874,1907,
396,Harrison Albright,1866,1933,
47480,Lorenzo Rubelli,1847,,
42378,John F. Miller,1923,,
35245,Hugh Kepets,1946,,
112133,F H Stingemore,,,
53093,T. Lux Feininger,1910,2011,
29266,Albert Edgar Yersin,1905,1984,
